id,iata_code,name,latitude_deg,longitude_deg,continent,iso_country,iso_region
7081,SUZ,Suria Airport,-9.032,147.45,OC,PG,PG-CPM
7082,AGV,Oswaldo Guevara Mujica Airport,9.553375244,-69.23786926,SA,VE,VE-P
7083,AAO,Anaco Airport,9.430225372,-64.47072601,SA,VE,VE-B
7084,LPJ,Armando Schwarck Airport,6.578050137,-66.81690216,SA,VE,VE-F
7085,BLA,General José Antonio Anzoategui International Airport,10.111111,-64.692222,SA,VE,VE-B
7086,BNS,Barinas Airport,8.615,-70.21416667,SA,VE,VE-E
7087,BRM,Barquisimeto International Airport,10.04274654,-69.35861969,SA,VE,VE-K
7088,MYC,Escuela Mariscal Sucre Airport,10.24997807,-67.64942169,SA,VE,VE-D
7089,CBL,"Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar",8.122160912,-63.53695679,SA,VE,VE-F
7090,CXA,Caicara del Orinoco Airport,7.625510216,-66.16280365,SA,VE,VE-F
7091,ZRZ,Zaraza Airport,9.350306,-65.280655,SA,VE,VE-J
7092,CUV,Casigua El Cubo Airport,8.75813961,-72.53630066,SA,VE,VE-V
7093,CLZ,Calabozo Airport,8.924655914,-67.41709137,SA,VE,VE-J
7094,CAJ,Canaima Airport,6.231988907,-62.85443115,SA,VE,VE-F
7095,VCR,Carora Airport,10.17560291,-70.06521606,SA,VE,VE-K
7096,CUP,General Francisco Bermúdez Airport,10.66001415,-63.2616806,SA,VE,VE-R
7097,CZE,José Leonardo Chirinos Airport,11.4149437,-69.68090057,SA,VE,VE-I
7098,CUM,Cumaná (Antonio José de Sucre) Airport,10.45033264,-64.13047028,SA,VE,VE-R
7099,PPZ,Puerto Paez Airport,6.220095,-67.447508,SA,VE,VE-C
7100,EOR,El Dorado Airport,6.733333111,-61.58333206,SA,VE,VE-F
7101,EOZ,Elorza Airport,7.083333015,-69.53333282,SA,VE,VE-C
7102,GDO,Guasdalito Airport,7.233333111,-70.80000305,SA,VE,VE-C
7103,GUI,Guiria Airport,10.57407761,-62.31266785,SA,VE,VE-R
7104,GUQ,Guanare Airport,9.02694416,-69.75514984,SA,VE,VE-P
7105,HGE,Higuerote Airport,10.462474,-66.092779,SA,VE,VE-M
7106,ICA,Icabarú Airport,4.336319923,-61.73960114,SA,VE,VE-F
7107,ICC,Andrés Miguel Salazar Marcano Airport,10.794432,-63.98159,SA,VE,VE-O
7108,LSP,Josefa Camejo International Airport,11.78077507,-70.15149689,SA,VE,VE-I
7109,KAV,Kavanayen Airport,5.632999897,-61.78300095,SA,VE,VE-F
7110,LFR,La Fria Airport,8.239167213,-72.27102661,SA,VE,VE-S
7111,MAR,La Chinita International Airport,10.55820847,-71.7278595,SA,VE,VE-V
7112,MRD,Alberto Carnevalli Airport,8.582078,-71.161041,SA,VE,VE-L
7113,PMV,Del Caribe Santiago Mariño International Airport,10.91260338,-63.96659851,SA,VE,VE-O
7114,CCS,Simón Bolívar International Airport,10.601194,-66.991222,SA,VE,VE-X
7115,MUN,Maturín Airport,9.754529953,-63.1473999,SA,VE,VE-N
7116,CBS,Oro Negro Airport,10.33069992,-71.32250214,SA,VE,VE-V
7117,PYH,Cacique Aramare Airport,5.619989872,-67.60610199,SA,VE,VE-Z
7118,PBL,General Bartolome Salom International Airport,10.48050022,-68.07299805,SA,VE,VE-G
7119,PDZ,Pedernales Airport,9.979240417,-62.22859955,SA,VE,VE-Y
7120,PPH,Perai-Tepuy Airport,4.570275,-61.520262,SA,VE,VE-F
7121,SCI,Paramillo Airport,7.801320076,-72.20290375,SA,VE,VE-S
7122,PZO,General Manuel Carlos Piar International Airport,8.28853035,-62.76039886,SA,VE,VE-F
7123,PTM,Palmarito Airport,7.566669941,-70.1832962,SA,VE,VE-C
7124,LRV,Los Roques Airport,11.94999981,-66.66999817,SA,VE,VE-W
7125,SVS,Stevens Village Airport,66.0172,-149.0545,NA,US,US-AK
7126,SVZ,San Antonio Del Tachira Airport,7.840829849,-72.43969727,SA,VE,VE-S
7127,SBB,Santa Bárbara de Barinas Airport,7.803514004,-71.16571808,SA,VE,VE-E
7128,SNV,Santa Elena de Uairen Airport,4.554999828,-61.15000153,SA,VE,VE-F
7129,STD,Mayor Buenaventura Vivas International Airport,7.56538,-72.035103,SA,VE,VE-S
7130,SNF,Sub Teniente Nestor Arias Airport,10.2787,-68.755203,SA,VE,VE-U
7131,SFD,San Fernando De Apure Airport,7.883319855,-67.44400024,SA,VE,VE-C
7132,SOM,San Tomé Airport,8.945146561,-64.1510849,SA,VE,VE-B
7133,STB,Santa Bárbara del Zulia Airport,8.974550247,-71.94325256,SA,VE,VE-V
7134,TUV,Tucupita Airport,9.088994026,-62.09417343,SA,VE,VE-Y
7135,TMO,Tumeremo Airport,7.24938,-61.52893,SA,VE,VE-F
7136,URM,Uriman Airport,5.333333015,-62.76666641,SA,VE,VE-F
7137,VLN,Arturo Michelena International Airport,10.14973259,-67.92839813,SA,VE,VE-G
7138,VIG,Juan Pablo Pérez Alfonso Airport,8.624139,-71.672668,SA,VE,VE-L
7139,VLV,Dr. Antonio Nicolás Briceño Airport,9.340477943,-70.58406067,SA,VE,VE-T
7140,VDP,Valle de La Pascua Airport,9.222027779,-65.99358368,SA,VE,VE-J
7141,BAZ,Barcelos Airport,-0.981292,-62.919601,SA,BR,BR-AM
7142,LCB,Pontes e Lacerda Airport,-15.1934,-59.3848,SA,BR,BR-MT
7143,RBB,Borba Airport,-4.406340122,-59.60240173,SA,BR,BR-AM
7144,CAF,Carauari Airport,-4.871520042,-66.89749908,SA,BR,BR-AM
7145,CQS,Costa Marques Airport,-12.42109966,-64.25160217,SA,BR,BR-RO
7146,DMT,Diamantino Airport,-14.37689972,-56.40039825,SA,BR,BR-MT
7147,DNO,Dianópolis Airport,-11.59539986,-46.84669876,SA,BR,BR-TO
7148,SWE,Siwea Airport,-6.284181,147.582371,OC,PG,PG-MPL
7149,ERN,Eirunepé Airport,-6.639530182,-69.87979889,SA,BR,BR-AM
